epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.64058,2.59523,4.66021,1.73685,0,0,0,0,1.48781,4.49057,1.40367,0,0,0.1
2,8.24903,1.71308,4.55169,1.54912,0,0,0,0,1.48145,4.48769,1.402,9.901e-05,9.901e-05,0.099099
3,8.81518,1.34061,4.35385,1.43745,0,0,0,0,1.4433,4.48902,1.38524,0.00019604,0.00019604,0.098196
4,9.48717,1.74123,4.65967,1.27093,0,0,0,0,1.3383,4.40425,1.29191,0.00029109,0.00029109,0.0972911
5,10.1719,1.68089,4.28274,1.36681,0,0,0,0,1.3163,4.40797,1.28388,0.00038416,0.00038416,0.0963842
6,10.8475,1.62392,4.20737,1.23237,0,0,0,0,1.69412,4.23527,1.47798,0.00047525,0.00047525,0.0954753
7,11.491,3.26495,5.43595,1.86905,0,0,0,0,1.74097,4.20577,1.48058,0.00056436,0.00056436,0.0945644
8,12.1208,1.78692,3.59602,1.46335,0,0,0,0,1.46323,4.14473,1.30829,0.00065149,0.00065149,0.0936515
9,12.8058,1.35671,3.13388,1.22352,0,0,0,0,1.10862,4.06157,1.16819,0.00073664,0.00073664,0.0927366
10,13.4642,3.75906,10.1952,1.70049,0,0,0,0,1.08887,4.05983,1.15359,0.00081981,0.00081981,0.0918198
11,14.1054,1.99405,3.07511,1.2514,0,0,0,0,1.14329,3.94585,1.235,0.000901,0.000901,0.090901
12,14.7641,2.47029,2.60267,1.68214,0.06667,0.2,0.0995,0.04975,1.36752,3.82215,1.47747,0.00098021,0.00098021,0.0899802
13,15.4076,1.47727,2.37949,1.06351,0.05,0.4,0.16583,0.06081,1.65328,3.75553,1.87919,0.00105744,0.00105744,0.0890574
14,16.0862,2.93309,3.09781,2.64785,0.33333,0.8,0.56383,0.18897,1.69368,3.72692,1.96374,0.00113269,0.00113269,0.0881327
15,16.7301,1.62011,2.24016,1.45472,0.12746,0.8,0.4975,0.20895,1.63941,3.66884,1.88651,0.00120596,0.00120596,0.087206
16,17.3402,1.1435,2.17786,0.95124,0.04727,0.8,0.597,0.26974,1.63817,3.51441,1.94652,0.00127725,0.00127725,0.0862772
17,18.0204,1.35196,2.53974,1.42573,0.03497,0.8,0.398,0.1791,1.90221,3.25501,2.21436,0.00134656,0.00134656,0.0853466
18,18.5886,1.48907,2.19167,1.27324,0.03497,0.8,0.398,0.1791,1.90221,3.25501,2.21436,0.00141389,0.00141389,0.0844139
19,19.2497,1.24359,1.93773,1.28419,0.03309,0.8,0.66333,0.39883,1.65237,3.10159,1.81737,0.00147924,0.00147924,0.0834792
20,19.8863,1.13965,1.69182,1.18931,0.03309,0.8,0.66333,0.39883,1.65237,3.10159,1.81737,0.00154261,0.00154261,0.0825426
21,20.547,1.32058,1.48719,1.10746,0.05952,0.8,0.53067,0.30513,1.58441,3.26447,1.66276,0.001604,0.001604,0.081604
22,21.1506,1.46851,1.39397,1.2919,0.05952,0.8,0.53067,0.30513,1.58441,3.26447,1.66276,0.00166341,0.00166341,0.0806634
23,21.8038,2.05259,3.83266,2.05664,0.27295,1,0.8955,0.54165,1.65685,3.1215,1.71728,0.00172084,0.00172084,0.0797208
24,22.4146,1.50045,3.58647,1.26683,0.27295,1,0.8955,0.54165,1.65685,3.1215,1.71728,0.00177629,0.00177629,0.0787763
25,23.0678,1.64679,1.91113,1.43223,0.07833,0.8,0.6965,0.39002,1.66014,3.25075,1.67134,0.00182976,0.00182976,0.0778298
26,23.6578,1.14008,2.10407,0.98533,0.07833,0.8,0.6965,0.39002,1.66014,3.25075,1.67134,0.00188125,0.00188125,0.0768813
27,24.3398,1.18105,2.37252,1.33852,0.15996,1,0.86233,0.597,1.36682,3.1027,1.44527,0.00193076,0.00193076,0.0759308
28,24.9166,1.38322,1.55896,1.25339,0.15996,1,0.86233,0.597,1.36682,3.1027,1.44527,0.00197829,0.00197829,0.0749783
29,25.6025,3.31371,2.56578,1.67612,0.02674,0.8,0.47263,0.26367,1.48393,3.06998,1.46407,0.00202384,0.00202384,0.0740238
30,26.2181,2.48322,2.27638,2.01797,0.02674,0.8,0.47263,0.26367,1.48393,3.06998,1.46407,0.00206741,0.00206741,0.0730674
31,26.8532,2.39657,1.58124,1.36944,0.22966,0.8,0.64675,0.32693,2.17485,3.05077,2.00476,0.002109,0.002109,0.072109
32,27.4535,1.78899,1.37883,1.17082,0.22966,0.8,0.64675,0.32693,2.17485,3.05077,2.00476,0.00214861,0.00214861,0.0711486
33,28.1014,1.82737,1.43061,1.05136,0,0,0,0,5.00922,3.80796,6.6662,0.00218624,0.00218624,0.0701862
34,28.7111,2.18114,2.85304,2.09211,0,0,0,0,5.00922,3.80796,6.6662,0.00222189,0.00222189,0.0692219
35,29.379,1.63996,2.37874,1.57617,0.09919,1,0.46433,0.17247,2.71969,2.88461,2.63714,0.00225556,0.00225556,0.0682556
36,29.9843,1.52916,1.75369,1.52977,0.09919,1,0.46433,0.17247,2.71969,2.88461,2.63714,0.00228725,0.00228725,0.0672872
37,30.6764,1.59281,2.28491,1.82501,0.3031,0.8,0.46623,0.24183,1.98634,3.02762,1.92875,0.00231696,0.00231696,0.066317
38,31.2945,2.86216,2.98606,2.11026,0.3031,0.8,0.46623,0.24183,1.98634,3.02762,1.92875,0.00234469,0.00234469,0.0653447
39,31.9576,2.7958,3.03861,1.89709,0,0,0,0,4.16504,6.93414,4.83122,0.00237044,0.00237044,0.0643704
40,32.5367,1.91599,1.84739,1.46708,0,0,0,0,4.16504,6.93414,4.83122,0.00239421,0.00239421,0.0633942
41,33.1981,1.499,1.5896,1.66156,0,0,0,0,6.57497,567.168,40.8938,0.002416,0.002416,0.062416
42,33.8143,2.49894,2.35344,1.69135,0,0,0,0,6.57497,567.168,40.8938,0.00243581,0.00243581,0.0614358
43,34.506,1.71579,1.46654,1.25778,0,0,0,0,6.61154,inf,101.04,0.00245364,0.00245364,0.0604536
44,35.1439,1.31262,1.27351,1.24645,0,0,0,0,6.61154,inf,101.04,0.00246949,0.00246949,0.0594695
45,35.8167,2.57025,2.84624,2.25382,0,0,0,0,6.58662,inf,137.745,0.00248336,0.00248336,0.0584834
46,36.4498,1.44145,2.02386,1.44131,0,0,0,0,6.58662,inf,137.745,0.00249525,0.00249525,0.0574952
47,37.0921,1.68228,2.46963,1.63827,0,0,0,0,4.68247,inf,117.936,0.00250516,0.00250516,0.0565052
